इतिहास,पुं।,पूर्वचरितप्रतिपादकग्रन्थः,,,पौरुषेयः,,,,,,"इतिहास,पुरावृत्त",,
पुरावृत्त,नपुं।,पूर्वचरितप्रतिपादकग्रन्थः,,,पौरुषेयः,,,,,,"इतिहास,पुरावृत्त",,
उदात्त,पुं।,उदात्तस्वरः,,,पौरुषेयः,,,,,,उदात्त,,
आन्वीक्षिकी,स्त्री।,तर्कशास्त्रम्,,,पौरुषेयः,,,,,,"आन्वीक्षिकी,तर्कविद्या",,
दण्डनीति,स्त्री।,अर्थशास्त्रम्,,,पौरुषेयः,,,,,,दण्डनीति,,
तर्कविद्या,स्त्री।,तर्कशास्त्रम्,,,पौरुषेयः,,,,,,"आन्वीक्षिकी,तर्कविद्या",,
आख्यायिका,स्त्री।,सत्यार्थविषयिणी_कथा,,,पौरुषेयः,,,,,,आख्यायिका,,
प्रबन्धकल्पना,स्त्री।,वाक्यविस्तरकल्पना,,,पौरुषेयः,,,,,,"प्रबन्धकल्पना,कथा",काथिकः,सत्यार्थविषयिणी_कथा
कथा,स्त्री।,वाक्यविस्तरकल्पना,,,पौरुषेयः,,,,,,"प्रबन्धकल्पना,कथा",काथिकः,सत्यार्थविषयिणी_कथा
प्रवह्लिका,स्त्री।,दुर्विज्ञानार्थः_प्रश्नः,,,गुणः,शब्दः,,,,,"प्रवह्लिका,प्रहेलिका",,
प्रहेलिका,स्त्री।,दुर्विज्ञानार्थः_प्रश्नः,,,गुणः,शब्दः,,,,,"प्रवह्लिका,प्रहेलिका",,
स्मृति,स्त्री।,धर्मशास्त्रम्,,,पौरुषेयः,,,,,,"स्मृति,धर्मसंहिता",,
धर्मसंहिता,स्त्री।,धर्मशास्त्रम्,,,पौरुषेयः,,,,,,"स्मृति,धर्मसंहिता",,
समाहृति,स्त्री।,सङ्ग्रहः,,समूहः,गुणः,शब्दः,वर्णात्मकः,,,,"समाहृति,सङ्ग्रह",,
सङ्ग्रह,पुं।,सङ्ग्रहः,,समूहः,गुणः,शब्दः,वर्णात्मकः,,,,"समाहृति,सङ्ग्रह",,
समस्या,स्त्री।,समस्या,,,गुणः,शब्दः,,,,,"समस्या,समासार्था",,
समासार्था,स्त्री।,समस्या,,,गुणः,शब्दः,,,,,"समस्या,समासार्था",,
किंवदन्ती,स्त्री।,लोकप्रवादः,,,गुणः,शब्दः,,,,,"किंवदन्ती,जनश्रुति,वार्ता",,
जनश्रुति,स्त्री।,लोकप्रवादः,,,गुणः,शब्दः,,,,,"किंवदन्ती,जनश्रुति,वार्ता",,
