शब्दः,लिङ्गम्,अर्थः,प्रसिद्धिः,उपाधिभेदः,जातिभेदः १,जातिभेदः २,जातिभेदः ३,जातिभेदः ४,जातिभेदः ५,जातिभेदः ६,समानाः,संबन्धिनः,अपराजातिः।
अभ्रमुवल्लभ,पुं।,इन्द्रहस्तिः,,,द्रव्यम्,पृथ्वी,चलसजीवः,मनुष्येतरः,अलौकिकप्राणी,,"ऐरावत,अभ्रमातङ्ग,ऐरावण,अभ्रमुवल्लभ","इन्द्रः,इन्द्रः",
ह्रादिनी,स्त्री।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
वज्र,पुं-नपुं।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
कुलिश,पुं-नपुं।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
भिदुर,नपुं।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
पवि,पुं।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
शतकोटि,पुं।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
स्वरु,पुं।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
शम्ब,पुं।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
दम्भोलि,पुं।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
अशनि,स्त्री-पुं।,इन्द्रस्य_वज्रायुधम्,,"उपकरणम्,अलौकिकोपकरणम्",,,,,,,"ह्रादिनी,वज्र,कुलिश,भिदुर,पवि,शतकोटि,स्वरु,शम्ब,दम्भोलि,अशनि,गो,ह्लादिनी","इन्द्रः,इन्द्रः,वज्रध्वनिः",
व्योमयान,नपुं।,देवरथः,,"वाहनम्,अलौकिकवाहनम्",,,,,,,"व्योमयान,विमान","इन्द्रः,देवः",
विमान,पुं-नपुं।,देवरथः,,"वाहनम्,अलौकिकवाहनम्",,,,,,,"व्योमयान,विमान","इन्द्रः,देवः",
नारद,पुं।,देवर्षिः,,,द्रव्यम्,आत्मा,ऋषिः,,,,नारद,देवः,
सुधर्मा,स्त्री।,देवसभा,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"सुधर्मा,देवसभा","इन्द्रः,देवः",
देवसभा,स्त्री।,देवसभा,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"सुधर्मा,देवसभा","इन्द्रः,देवः",
पीयूष,नपुं।,अमृतम्,,"खाद्यम्,पानीयम्,अलौकिकपानीयम्",,,,,,,"पीयूष,अमृत,सुधा",देवः,
अमृत,नपुं।,अमृतम्,,"खाद्यम्,पानीयम्,अलौकिकपानीयम्",,,,,,,"पीयूष,अमृत,सुधा",देवः,
सुधा,स्त्री।,अमृतम्,,"खाद्यम्,पानीयम्,अलौकिकपानीयम्",,,,,,,"पीयूष,अमृत,सुधा",देवः,
मन्दाकिनी,स्त्री।,देवगङ्गा,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"मन्दाकिनी,वियद्गङ्गा,स्वर्णदी,सुरदीर्घिका",देवः,
वियद्गङ्गा,स्त्री।,देवगङ्गा,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"मन्दाकिनी,वियद्गङ्गा,स्वर्णदी,सुरदीर्घिका",देवः,
स्वर्णदी,स्त्री।,देवगङ्गा,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"मन्दाकिनी,वियद्गङ्गा,स्वर्णदी,सुरदीर्घिका",देवः,
सुरदीर्घिका,स्त्री।,देवगङ्गा,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"मन्दाकिनी,वियद्गङ्गा,स्वर्णदी,सुरदीर्घिका",देवः,
मेरु,पुं।,मेरुपर्वतः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,प्राकृतिकस्थानम्,,"मेरु,सुमेरु,हेमाद्रि,रत्नसानु,सुरालय",,
सुमेरु,पुं।,मेरुपर्वतः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,प्राकृतिकस्थानम्,,"मेरु,सुमेरु,हेमाद्रि,रत्नसानु,सुरालय",,
हेमाद्रि,पुं।,मेरुपर्वतः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,प्राकृतिकस्थानम्,,"मेरु,सुमेरु,हेमाद्रि,रत्नसानु,सुरालय",,
रत्नसानु,पुं।,मेरुपर्वतः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,प्राकृतिकस्थानम्,,"मेरु,सुमेरु,हेमाद्रि,रत्नसानु,सुरालय",,
सुरालय,पुं।,मेरुपर्वतः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,प्राकृतिकस्थानम्,,"मेरु,सुमेरु,हेमाद्रि,रत्नसानु,सुरालय",,
देवतरु,पुं।,देववृक्षः,,,द्रव्यम्,पृथ्वी,अचलसजीवः,अलौकिकसस्यः,,,"देवतरु,मन्दार,पारिजातक,सन्तान,कल्पवृक्ष,हरिचन्दन","इन्द्रः,देवः",
मन्दार,पुं।,देववृक्षः,,,द्रव्यम्,पृथ्वी,अचलसजीवः,अलौकिकसस्यः,,,"देवतरु,मन्दार,पारिजातक,सन्तान,कल्पवृक्ष,हरिचन्दन","इन्द्रः,देवः",
पारिजातक,पुं।,देववृक्षः,,,द्रव्यम्,पृथ्वी,अचलसजीवः,अलौकिकसस्यः,,,"देवतरु,मन्दार,पारिजातक,सन्तान,कल्पवृक्ष,हरिचन्दन","इन्द्रः,देवः",
सन्तान,पुं।,देववृक्षः,,,द्रव्यम्,पृथ्वी,अचलसजीवः,अलौकिकसस्यः,,,"देवतरु,मन्दार,पारिजातक,सन्तान,कल्पवृक्ष,हरिचन्दन","इन्द्रः,देवः",
कल्पवृक्ष,पुं।,देववृक्षः,,,द्रव्यम्,पृथ्वी,अचलसजीवः,अलौकिकसस्यः,,,"देवतरु,मन्दार,पारिजातक,सन्तान,कल्पवृक्ष,हरिचन्दन","इन्द्रः,देवः",
हरिचन्दन,पुं-नपुं।,देववृक्षः,,,द्रव्यम्,पृथ्वी,अचलसजीवः,अलौकिकसस्यः,,,"देवतरु,मन्दार,पारिजातक,सन्तान,कल्पवृक्ष,हरिचन्दन","इन्द्रः,देवः",
सनत्कुमार,पुं।,सनत्कुमारः,,,द्रव्यम्,पृथ्वी,चलसजीवः,अलौकिकचेतनः,,,"सनत्कुमार,वैधात्र",ब्रह्मा,
वैधात्र,पुं।,सनत्कुमारः,,,द्रव्यम्,पृथ्वी,चलसजीवः,अलौकिकचेतनः,,,"सनत्कुमार,वैधात्र",ब्रह्मा,
स्वर्वैद्य,पुं।,अश्विनीकुमारौ,,,द्रव्यम्,आत्मा,देवता,,,,"स्वर्वैद्य,अश्विनीसुत,नासत्यौ,अश्विनौ,दस्रौ,आश्विनेयौ",इन्द्रः,
अश्विनीसुत,पुं।,अश्विनीकुमारौ,,,द्रव्यम्,आत्मा,देवता,,,,"स्वर्वैद्य,अश्विनीसुत,नासत्यौ,अश्विनौ,दस्रौ,आश्विनेयौ",इन्द्रः,
नासत्यौ,पुं-द्वि।,अश्विनीकुमारौ,,,द्रव्यम्,आत्मा,देवता,,,,"स्वर्वैद्य,अश्विनीसुत,नासत्यौ,अश्विनौ,दस्रौ,आश्विनेयौ",इन्द्रः,
अश्विनौ,पुं-द्वि।,अश्विनीकुमारौ,,,द्रव्यम्,आत्मा,देवता,,,,"स्वर्वैद्य,अश्विनीसुत,नासत्यौ,अश्विनौ,दस्रौ,आश्विनेयौ",इन्द्रः,
दस्रौ,पुं-द्वि।,अश्विनीकुमारौ,,,द्रव्यम्,आत्मा,देवता,,,,"स्वर्वैद्य,अश्विनीसुत,नासत्यौ,अश्विनौ,दस्रौ,आश्विनेयौ",इन्द्रः,
आश्विनेयौ,पुं-द्वि।,अश्विनीकुमारौ,,,द्रव्यम्,आत्मा,देवता,,,,"स्वर्वैद्य,अश्विनीसुत,नासत्यौ,अश्विनौ,दस्रौ,आश्विनेयौ",इन्द्रः,
अप्सरस्,स्त्री-बहु।,अप्सरस्,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"अप्सरस्,स्वर्वेश्या","इन्द्रः,देवः","घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा"
