शब्दः,लिङ्गम्,अर्थः,प्रसिद्धिः,उपाधिभेदः,जातिभेदः १,जातिभेदः २,जातिभेदः ३,जातिभेदः ४,जातिभेदः ५,जातिभेदः ६,समानाः,संबन्धिनः,अपराजातिः।
वृन्दारक,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
दैवत,पुं-नपुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
देवता,स्त्री।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
आदित्य,पुं।,गणदेवता,,,द्रव्यम्,आत्मा,देवता,,,,"आदित्य,विश्व,वसु,तुषित,आभास्वर,अनिल,महाराजिक,साध्य,रुद्र",,
विश्व,नपुं।,गणदेवता,,,द्रव्यम्,आत्मा,देवता,,,,"आदित्य,विश्व,वसु,तुषित,आभास्वर,अनिल,महाराजिक,साध्य,रुद्र",,
वसु,पुं-बहु।,गणदेवता,,,द्रव्यम्,आत्मा,देवता,,,,"आदित्य,विश्व,वसु,तुषित,आभास्वर,अनिल,महाराजिक,साध्य,रुद्र",,
तुषित,पुं-बहु।,गणदेवता,,,द्रव्यम्,आत्मा,देवता,,,,"आदित्य,विश्व,वसु,तुषित,आभास्वर,अनिल,महाराजिक,साध्य,रुद्र",,
आभास्वर,पुं।,गणदेवता,,,द्रव्यम्,आत्मा,देवता,,,,"आदित्य,विश्व,वसु,तुषित,आभास्वर,अनिल,महाराजिक,साध्य,रुद्र",,
अनिल,पुं।,गणदेवता,,,द्रव्यम्,आत्मा,देवता,,,,"आदित्य,विश्व,वसु,तुषित,आभास्वर,अनिल,महाराजिक,साध्य,रुद्र",,
महाराजिक,पुं-बहु।,गणदेवता,,,द्रव्यम्,आत्मा,देवता,,,,"आदित्य,विश्व,वसु,तुषित,आभास्वर,अनिल,महाराजिक,साध्य,रुद्र",,
साध्य,पुं-बहु।,गणदेवता,,,द्रव्यम्,आत्मा,देवता,,,,"आदित्य,विश्व,वसु,तुषित,आभास्वर,अनिल,महाराजिक,साध्य,रुद्र",,
रुद्र,पुं।,गणदेवता,,,द्रव्यम्,आत्मा,देवता,,,,"आदित्य,विश्व,वसु,तुषित,आभास्वर,अनिल,महाराजिक,साध्य,रुद्र",,
विद्याधर,पुं।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
अप्सरस्,स्त्री-बहु।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
यक्ष,पुं।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
रक्ष,पुं।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
गन्धर्व,पुं।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
किन्नर,पुं।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
पिशाच,पुं।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
गुह्यक,पुं।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
सिद्ध,पुं।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
भूत,नपुं।,देवयोनिः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"विद्याधर,अप्सरस्,यक्ष,रक्ष,गन्धर्व,किन्नर,पिशाच,गुह्यक,सिद्ध,भूत",,"अप्सरस्,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः,राक्षसः,किन्नरः"
असुर,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
दैत्य,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
दैतेय,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
दनुज,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
इन्द्रारि,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
दानव,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
शुक्रशिष्य,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
दितिसुत,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
पूर्वदेव,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
सुरद्विष्,पुं।,असुरः,,,द्रव्यम्,आत्मा,देवयोनिः,,,,"असुर,दैत्य,दैतेय,दनुज,इन्द्रारि,दानव,शुक्रशिष्य,दितिसुत,पूर्वदेव,सुरद्विष्",,वृत्रासुरः
सर्वज्ञ,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
सुगत,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
बुद्ध,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
धर्मराज,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
तथागत,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
समन्तभद्र,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
भगवत्,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
मारजित्,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
लोकजित्,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
जिन,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
षडभिज्ञ,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
दशबल,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
अद्वयवादिन्,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
विनायक,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
मुनीन्द्र,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
श्रीघन,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
शास्तृ,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
मुनि,पुं।,बुद्धः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"सर्वज्ञ,सुगत,बुद्ध,धर्मराज,तथागत,समन्तभद्र,भगवत्,मारजित्,लोकजित्,जिन,षडभिज्ञ,दशबल,अद्वयवादिन्,विनायक,मुनीन्द्र,श्रीघन,शास्तृ,मुनि",,
शाक्यमुनि,पुं।,शाक्यः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"शाक्यमुनि,शाक्यसिंह,सर्वार्थसिद्ध,शौद्धोदनि,गौतम,अर्कबन्धु,मायादेवीसुत",,
शाक्यसिंह,पुं।,शाक्यः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"शाक्यमुनि,शाक्यसिंह,सर्वार्थसिद्ध,शौद्धोदनि,गौतम,अर्कबन्धु,मायादेवीसुत",,
सर्वार्थसिद्ध,पुं।,शाक्यः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"शाक्यमुनि,शाक्यसिंह,सर्वार्थसिद्ध,शौद्धोदनि,गौतम,अर्कबन्धु,मायादेवीसुत",,
शौद्धोदनि,पुं।,शाक्यः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"शाक्यमुनि,शाक्यसिंह,सर्वार्थसिद्ध,शौद्धोदनि,गौतम,अर्कबन्धु,मायादेवीसुत",,
गौतम,पुं।,शाक्यः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"शाक्यमुनि,शाक्यसिंह,सर्वार्थसिद्ध,शौद्धोदनि,गौतम,अर्कबन्धु,मायादेवीसुत",,
अर्कबन्धु,पुं।,शाक्यः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"शाक्यमुनि,शाक्यसिंह,सर्वार्थसिद्ध,शौद्धोदनि,गौतम,अर्कबन्धु,मायादेवीसुत",,
मायादेवीसुत,पुं।,शाक्यः,,,द्रव्यम्,आत्मा,ऋषिः,,,,"शाक्यमुनि,शाक्यसिंह,सर्वार्थसिद्ध,शौद्धोदनि,गौतम,अर्कबन्धु,मायादेवीसुत",,
ब्रह्मन्,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
आत्मभू,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
सुरज्येष्ठ,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
परमेष्ठिन्,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
पितामह,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
हिरण्यगर्भ,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
लोकेश,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
स्वयम्भू,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
चतुरानन,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
धातृ,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
अब्जयोनि,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
द्रुहिण,पुं।,ब्रह्मा,,,द्रव्यम्,आत्मा,ईश्वरः,,,,"ब्रह्मन्,आत्मभू,सुरज्येष्ठ,परमेष्ठिन्,पितामह,हिरण्यगर्भ,लोकेश,स्वयम्भू,चतुरानन,धातृ,अब्जयोनि,द्रुहिण,विरिञ्चि,कमलासन,स्रष्टृ,प्रजापति,वेधस्,विधातृ,विश्वसृज्,विधि,नाभिजन्मन्,अण्डज,पूर्व,निधन,कमलोद्भव,सदानन्द,रजोमूर्तिन्,सत्यक,हंसवाहन,क,आत्मन्,शम्भु",सनत्कुमारः,
