नाम,अक्षराणि,विषमे-स्वराः,विषमयोर् मात्राः,समे-सङ्ख्या,समयोर् मात्राः,प्रसिद्धिः,पादयोः साम्यम्,जातिः,जातिः २,उदाहरणम्,मुख्यांशः
शिशिरा,48,12,दा दा द दा दा द द दा द दा द दा,12,द दा द दा दा द द दा द दा द दा,,,,,,
सरसीकम्,48,12,दा दा द दा द द द दा द द दा दा,12,द द दा दा द द द दा द द दा दा,,,,,,
कामाक्षी,48,13,द द दा द द दा द द द द द द दा,11,दा दा दा दा द द द द द द दा,,,,,,
अकोषकृष्टा,48,14,द द दा दा द द दा द दा द दा द दा दा,10,दा दा द द दा द दा द दा दा,,,,,,
सुरभिः,50,11,द द दा द द दा द दा द दा दा,13,द द द द दा द द दा द दा द दा दा,,द द दा द दा द दा दा,वसन्तमालिका +‌पुष्पिताग्रा,,,
अप्रमाथिनी,50,12,द द दा दा द द दा द दा द दा दा,13,द द द द दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
अमरावती,50,12,दा द दा द दा द दा द दा द दा द,13,द दा द दा द दा द दा द दा द दा दा,,,,,,
चमूरुभीरुः,50,12,दा द दा द द द द दा द दा द दा,13,द द दा द द द द दा द दा द दा दा,,,,,,
पद्मावती,50,12,दा दा द दा द द द दा द द दा दा,13,द द दा द दा द द द दा द द दा दा,,,,,,
पुष्पिताग्रा,50,12,द द द द द द दा द दा द दा दा,13,द द द द दा द द दा द दा द दा दा,५,द द दा द दा द दा दा,,,,
अञ्चिताग्रा,50,13,द द द द दा द द दा द दा द दा दा,12,द द द द द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
अमरावती,50,13,द दा द दा द दा द दा द दा द दा दा,12,दा द दा द दा द दा द दा द दा द,,,,,,
चमूरुः,50,13,द द दा द द द द दा द दा द दा दा,12,दा द दा द द द द दा द दा द दा,,,,,,
पद्मावती,50,13,द द दा द दा द द द दा द द दा दा,12,दा दा द दा द द द दा द द दा दा,,,,,,
प्रमाथिनी,50,13,द द द द दा द द दा द दा द दा दा,12,द द दा दा द द दा द दा द दा दा,,द द दा द दा द दा दा,,,,
अतिसुरहिता,52,13,दा दा द द द द द द द द द द दा,13,द द द द द द द द दा द द दा दा,,,,,,
अनङ्गपदम्,52,13,दा द द दा द द दा द द दा द द दा,13,द द दा द द दा द द दा द द दा दा,,,,,,
अनिरया,52,13,द द द दा द द द द दा द दा द दा,13,द द द दा द द द दा द द दा द दा,,,,,,
अर्धरुतम्,52,13,दा द द द द द द दा दा द द द द,13,दा द द द द द द दा द द दा द द,,,,,,
अल्परुतम्,52,13,दा द द द द द द दा द द दा द द,13,दा द द द द द द दा दा द द द द,,,,,,
कलना,52,13,द द दा द दा द द द दा द द दा दा,13,द द दा द दा द द द दा द दा द दा,,,,,,
कलनावती,52,13,द द दा द दा द द द दा द दा द दा,13,द द दा द दा द द द दा द द दा दा,,,,,,
धीरावर्त्तः,52,13,दा दा दा दा दा द द दा दा द द दा दा,13,दा दा दा दा द द द द दा दा दा दा दा,,,,,,
धीरावर्त्तः,52,13,दा दा दा दा द द द द दा दा दा दा दा,13,दा दा दा दा दा द द दा दा द द दा दा,,,,,,
निर्मधुवारि,52,13,दा दा द दा द द दा द दा द द दा द,13,द द दा द दा द द द दा द दा द दा,,,,,,
भुजङ्गभृता,52,13,द द दा द द दा द द दा द द दा दा,13,दा द द दा द द दा द द दा द द दा,,,,,,
मधुवारि,52,13,द द दा द दा द द द दा द दा द दा,13,दा दा द दा द द दा द दा द द दा द,,,,,,
रुचिमुखी,52,13,द द द द द द द द दा द द दा दा,13,द द द द द द दा द द द द दा दा,,,,,,
विमुखी,52,13,द द द द द द दा द द द द दा दा,13,द द द द द द द द दा द द दा दा,,,,,,
शिशुमुखी,52,13,द द द दा द द द दा द द दा द दा,13,द द द दा द द द द दा द दा द दा,,,,,,
सुरहिता,52,13,द द द द द द द द दा द द दा दा,13,दा दा द द द द द द द द द द दा,,,,,,
शरावती,54,12,द द द द द द दा द दा द दा दा,15,द द दा दा द द द द द द दा द दा द दा,,,,,,
आलेपनम्,54,13,द द द दा दा द दा दा द दा दा द दा,14,द द द दा द द द दा दा द दा दा द दा,,,,,,
प्रतिविनीता,54,13,द द द द दा दा द दा द दा द दा दा,14,द द दा दा द द दा द दा द द द दा दा,,,,,,
मदाक्रान्ता,54,13,द द दा द द दा द दा द दा द दा दा,14,दा दा दा द द दा द दा द दा द दा दा दा,,,,,,
लास्यलीलालयः,54,13,दा दा द द दा दा दा द दा दा द दा दा,14,दा द द द द दा दा दा द दा दा द दा दा,,,,,,
अतिप्रतिविनीता,54,14,द द दा दा द द दा द दा द द द दा दा,13,द द द द दा दा द दा द दा द दा दा,,,,,,
अनालेपनम्,54,14,द द द दा द द द दा दा द दा दा द दा,13,द द द दा दा द दा दा द दा दा द दा,,,,,,
लास्यलीला,54,14,दा द द द द दा दा दा द दा दा द दा दा,13,दा दा द द दा दा दा द दा दा द दा दा,,,,,,
सम्मदाक्रान्ता,54,14,दा दा दा द द दा द दा द दा द दा दा दा,13,द द दा द द दा द दा द दा द दा दा,,,,,,
बृहच्छरावती,54,15,द द दा दा द द द द द द दा द दा द दा,12,द द द द द द दा द दा द दा दा,,,,,,
अहीनताली,56,12,दा दा दा द द द द दा द दा द दा,16,द द दा दा द द द द दा द दा द दा द दा दा,,,,,,
हीनताली,56,16,द द दा दा द द द द दा द दा द दा द दा दा,12,दा दा दा द द द द दा द दा द दा,,,,,,
परप्रीणिता,58,13,द द द द द द दा दा द दा दा द दा,16,द द द द द द द द दा दा दा द दा दा द दा,,,,,,
अवरोधवनिता,58,14,द द द दा द द दा द द दा द दा द दा,15,द द दा द द दा द दा द दा द द द दा दा,,,,,,
प्रमोदपरिणीता,58,14,द द द द द द दा द दा द दा द दा दा,15,द द द द दा द द दा द दा द द द दा दा,,,,,,
अवरोधवनिता,58,15,द द दा द द दा द दा द दा द द द दा दा,14,द द द दा द द दा द द दा द दा द दा,,,,,,
प्रमोदपदम्,58,15,द द द द दा द द दा द दा द द द दा दा,14,द द द द द द दा द दा द दा द दा दा,,,,,,
अपरप्रीणिता,58,16,द द द द द द द द दा दा दा द दा दा द दा,13,द द द द द द दा दा द दा दा द दा,,,,,,
आसववासिता,62,15,द द द दा द द द दा द दा द दा द दा दा,16,द द दा दा द द दा द दा द दा द द द दा दा,,,,,,
अनासववासिता,62,16,द द दा दा द द दा द दा द दा द द द दा दा,15,द द द दा द द द दा द दा द दा द दा दा,,,,,,
मार्दङ्गी,64,14,द द दा द द द द द दा द द द दा दा,18,दा दा दा द द द द दा द द द द द द द द दा दा,,,,,,
वासववासिनी,64,16,द द द द दा द दा द द द दा द द दा द दा,16,दा दा द द दा द दा द द द दा द द दा द दा,,,,,,
वासिनी,64,16,दा दा द द दा द दा द द द दा द द दा द दा,16,द द द द दा द दा द द द दा द द दा द दा,,,,,,
मार्दङ्गी,64,18,दा दा दा द द द द दा द द द द द द द द दा दा,14,द द दा द द द द द दा द द द दा दा,,,,,,
