कलना,52,4,13,द दा दा द दा द दा द दा द दा दा दा,13,द दा दा द दा द दा द दा द दा द दा,13,द दा दा द दा द दा द दा द दा दा दा,13,द दा दा द दा द दा द दा द दा द दा,अर्ध-सम-वृत्त
अतिप्रतिविनीता,54,4,14,द दा दा दा द दा दा द दा द दा द दा दा,13,द दा द दा दा दा द दा द दा द दा दा,14,द दा दा दा द दा दा द दा द दा द दा दा,13,द दा द दा दा दा द दा द दा द दा दा,अर्ध-सम-वृत्त
हरिलुप्ता,46,4,11,द दा दा द दा दा द दा दा द दा,12,द दा दा दा द दा दा द दा दा द दा,11,द दा दा द दा दा द दा दा द दा,12,द दा दा दा द दा दा द दा दा द दा,अर्ध-सम-वृत्त
वियद्वाणी,48,4,12,द दा दा दा द दा दा द दा द दा दा,12,दा दा दा द दा दा द दा द दा दा दा,12,द दा दा दा द दा दा द दा द दा दा,12,दा दा दा द दा दा द दा द दा दा दा,अर्ध-सम-वृत्त
अपरवक्त्रम्,46,4,11,द दा द दा द दा दा द दा द दा,12,द दा द दा दा द दा दा द दा द दा,11,द दा द दा द दा दा द दा द दा,12,द दा द दा दा द दा दा द दा द दा,अर्ध-सम-वृत्त
अवहित्रा,44,4,11,दा द दा दा द दा दा द दा दा दा,11,द दा दा द दा दा द दा दा द दा,11,दा द दा दा द दा दा द दा दा दा,11,द दा दा द दा दा द दा दा द दा,अर्ध-सम-वृत्त
केतुमती,42,4,10,द दा दा द दा द दा द दा दा,11,दा द दा दा द दा द दा द दा दा,10,द दा दा द दा द दा द दा दा,11,दा द दा दा द दा द दा द दा दा,अर्ध-सम-वृत्त
किन्नटकः,46,4,11,दा दा द दा दा द दा दा द दा दा,12,द दा दा द दा दा द दा दा द दा दा,11,दा दा द दा दा द दा दा द दा दा,12,द दा दा द दा दा द दा दा द दा दा,अर्ध-सम-वृत्त
नटकः,46,4,12,द दा दा द दा दा द दा दा द दा दा,11,दा दा द दा दा द दा दा द दा दा,12,द दा दा द दा दा द दा दा द दा दा,11,दा दा द दा दा द दा दा द दा दा,अर्ध-सम-वृत्त
विमानिनी,46,4,12,दा दा दा द दा द दा दा द दा द दा,11,द दा दा दा द दा दा द दा द दा,12,दा दा दा द दा द दा दा द दा द दा,11,द दा दा दा द दा दा द दा द दा,अर्ध-सम-वृत्त
